		Total	Chihuahua	Nuevo Leon	Yucatan
1990	Total	14493	306	72	65
1990	Enero	1376	19	10	5
1990	Febrero	1142	25	5	2
1990	Marzo	1288	30	9	3
1990	Abril	1135	31	11	7
1990	Mayo	1169	27	5	7
1990	Junio	1198	20	4	3
1990	Julio	1127	35	7	3
1990	Agosto	1183	29	5	7
1990	Septiembre	1228	20	6	6
1990	Octubre	1147	28	1	9
1990	Noviembre	1186	23	3	4
1990	Diciembre	1183	18	5	9
1990	No especificado	131	1	1	
1991	Total	15128	454	91	63
1991	Enero	1314	41	12	9
1991	Febrero	1182	26	4	6
1991	Marzo	1350	38	5	3
1991	Abril	1376	60	7	10
1991	Mayo	1290	28	5	7
1991	Junio	1241	59	2	4
1991	Julio	1239	29	5	4
1991	Agosto	1188	26	9	
1991	Septiembre	1289	36	9	7
1991	Octubre	1170	33	13	5
1991	Noviembre	1119	40	11	5
1991	Diciembre	1281	35	8	2
1991	No especificado	89	3	1	1
1992	Total	16594	462	120	48
1992	Enero	1368	26	12	9
1992	Febrero	1328	32	10	4
1992	Marzo	1473	44	10	1
1992	Abril	1338	27	12	5
1992	Mayo	1492	48	13	3
1992	Junio	1379	37	11	4
1992	Julio	1258	48	10	5
1992	Agosto	1402	45	9	2
1992	Septiembre	1279	31	10	1
1992	Octubre	1354	45	4	6
1992	Noviembre	1270	30	10	
1992	Diciembre	1532	45	6	8
1992	No especificado	121	4	3	
1993	Total	16040	456	121	59
1993	Enero	1406	44	9	6
1993	Febrero	1235	23	7	3
1993	Marzo	1318	25	9	2
1993	Abril	1268	31	8	5
1993	Mayo	1484	44	8	9
1993	Junio	1303	43	8	7
1993	Julio	1257	28	14	5
1993	Agosto	1335	37	15	4
1993	Septiembre	1173	49	5	2
1993	Octubre	1343	50	6	3
1993	Noviembre	1255	43	16	7
1993	Diciembre	1559	37	13	6
1993	No especificado	104	2	3	
1994	Total	15839	573	134	47
1994	Enero	1343	39	9	4
1994	Febrero	1304	38	7	2
1994	Marzo	1343	51	10	6
1994	Abril	1241	45	10	3
