,,cassualties,cassualties,cassualties,cassualties,cassualties,cassualties,cassualties,cassualties,cassualties,cassualties,cassualties,cassualties,cassualties,cassualties,cassualties,cassualties,cassualties,cassualties,cassualties
nom_mun,,Apodaca,Cadereyta Jiménez,Ciénega de Flores,Doctor González,El Carmen,García,General Escobedo,General Zuazua,Guadalupe,Hidalgo,Juárez,Marín,Monterrey,Pesquería,Salinas Victoria,San Nicolás de los Garza,San Pedro Garza García,Santa Catarina,Santiago
,nom_mun,,,,,,,,,,,,,,,,,,,
cassualties,Apodaca,1.0,-0.004043228645520768,-0.007908835892242448,-0.015761827948014232,-0.02089415290574309,-0.04744555676465158,-0.03690740996040684,-0.024367295091911382,0.018749144535859078,-0.017202065596441208,-0.03471220424477888,-0.017673612822571138,-0.006935279331939827,-0.0063506666293671145,-0.02787562700957707,-0.040061393746306594,0.009719440509980264,-0.010422018079975092,-0.04858839141882434
cassualties,Cadereyta Jiménez,-0.004043228645520768,1.0,-0.009948922799005387,-0.014022975528271017,-0.018589099934826873,-0.03643366299634736,-0.036057274110993784,-0.021679083409045695,-0.0255423676857286,-0.015304325468480729,0.005756602646517213,-0.00035097882541147723,-0.04272842064214153,-0.007854788748018801,0.03363408209335239,-0.03584249564747532,0.03533276230072268,0.012184428190253482,0.01639550266472305
cassualties,Ciénega de Flores,-0.007908835892242448,-0.009948922799005387,1.0,-0.003813089795700023,-0.005054698065317156,-0.011477994110029184,-0.005168293528729847,-0.005894918062183523,-0.024157954552107255,-0.004161511025693966,0.0021682602171039602,-0.004275587382958721,0.0008420268193842123,0.04273474889629962,0.02527761479202915,-0.015629077473039866,-0.011307540970292915,-0.01841083621227872,0.09022458247004614
cassualties,Doctor González,-0.015761827948014232,-0.014022975528271017,-0.003813089795700023,1.0,-0.003641805960650122,-0.008269658607905525,-0.01234393631061761,-0.004247167181697512,-0.01740530922878486,-0.002998283075041119,-0.010021975402573302,-0.0030804727434424186,-0.03212676232122748,-0.006422976699803673,-0.006256883915103154,-0.01126042876652283,-0.008146850627630384,-0.013264628706210592,-0.009895528108896996
cassualties,El Carmen,-0.02089415290574309,-0.018589099934826873,-0.005054698065317156,-0.003641805960650122,1.0,-0.01096240309193566,-0.016363336383538086,-0.005630118587978955,-0.0230727802382702,-0.003974576123482215,-0.01328530467212291,-0.004083528175523086,0.01588698277609643,-0.008514409478288399,-0.008294233997911363,-0.007497435026824816,0.01825584621548334,-0.017583822215264104,0.029005084144371338
cassualties,García,-0.04744555676465158,-0.03643366299634736,-0.011477994110029184,-0.008269658607905525,-0.01096240309193566,1.0,-0.008094955035906893,-0.012784634642175633,-0.008382830618319575,-0.00902529898832456,-0.023658615316838483,-0.009272702689878646,-0.05126559132653065,-0.019334160137623083,0.022412692037506204,-0.02647249812856744,0.0045069828662014045,-0.009775622305640492,-0.02978708067080678
cassualties,General Escobedo,-0.03690740996040684,-0.036057274110993784,-0.005168293528729847,-0.01234393631061761,-0.016363336383538086,-0.008094955035906893,1.0,-0.01908334107367734,-0.04468880594603973,-0.01347186397630255,0.03087539944417796,-0.013841158003999536,-0.025391921019412834,0.012941043742880756,0.013115396530560871,-0.028335614202207732,-0.03660537072176943,-0.027451477677947655,-0.00940602473207362
cassualties,General Zuazua,-0.024367295091911382,-0.021679083409045695,-0.005894918062183523,-0.004247167181697512,-0.005630118587978955,-0.012784634642175633,-0.01908334107367734,1.0,-0.026908065964340495,-0.004635252249902675,-0.015493661829314663,-0.004762314917382938,-0.020494762806798877,-0.009929721928750105,-0.009672947656706336,-0.007877243151170648,-0.012594777329630463,-0.020506702841505357,-0.015298178251600762
cassualties,Guadalupe,0.018749144535859078,-0.0255423676857286,-0.024157954552107255,-0.01740530922878486,-0.0230727802382702,-0.008382830618319575,-0.04468880594603973,-0.026908065964340495,1.0,0.03799144008771018,-0.03534425771554051,-0.011152248779455386,-0.016376793574392895,-0.031650094007068044,-0.003964069176375765,-0.03923744719495273,0.015344892202058757,-0.056218849960882354,-0.05662633337757022
cassualties,Hidalgo,-0.017202065596441208,-0.015304325468480729,-0.004161511025693966,-0.002998283075041119,-0.003974576123482215,-0.00902529898832456,-0.01347186397630255,-0.004635252249902675,0.03799144008771018,1.0,-0.010937733798997077,-0.003361951061483508,0.05319804295246064,-0.007009876448267712,-0.0068286069288353585,-0.012289350887767742,-0.008891269424023452,0.007388101144860545,-0.010799732378889846
cassualties,Juárez,-0.03471220424477888,0.005756602646517213,0.0021682602171039602,-0.010021975402573302,-0.01328530467212291,-0.023658615316838483,0.03087539944417796,-0.015493661829314663,-0.03534425771554051,-0.010937733798997077,1.0,-0.011237561630960265,-0.005295528104653518,-0.014068867611308645,-0.010513041689856758,0.04976917396887317,-0.008056093191762283,-0.041188898801800496,0.05183943308581509
cassualties,Marín,-0.017673612822571138,-0.00035097882541147723,-0.004275587382958721,-0.0030804727434424186,-0.004083528175523086,-0.009272702689878646,-0.013841158003999536,-0.004762314917382938,-0.011152248779455386,-0.003361951061483508,-0.011237561630960265,1.0,-0.031705398158983385,-0.007202032894605962,-0.007015794370806901,-0.012626229577688473,-0.00913499907440581,-0.014873523094017604,0.016899328994317165
cassualties,Monterrey,-0.006935279331939827,-0.04272842064214153,0.0008420268193842123,-0.03212676232122748,0.01588698277609643,-0.05126559132653065,-0.025391921019412834,-0.020494762806798877,-0.016376793574392895,0.05319804295246064,-0.005295528104653518,-0.031705398158983385,1.0,0.16764921779139114,-0.033262407261243694,-0.042183342354177984,-0.004528230772320597,-0.08959120008490626,0.05811729383397373
cassualties,Pesquería,-0.0063506666293671145,-0.007854788748018801,0.04273474889629962,-0.006422976699803673,-0.008514409478288399,-0.019334160137623083,0.012941043742880756,-0.009929721928750105,-0.031650094007068044,-0.007009876448267712,-0.014068867611308645,-0.007202032894605962,0.16764921779139114,1.0,-0.01462836633443087,-0.026326471661373408,0.02270773184772649,-0.03101221800459944,0.022264697233175337
cassualties,Salinas Victoria,-0.02787562700957707,0.03363408209335239,0.02527761479202915,-0.006256883915103154,-0.008294233997911363,0.022412692037506204,0.013115396530560871,-0.009672947656706336,-0.003964069176375765,-0.0068286069288353585,-0.010513041689856758,-0.007015794370806901,-0.033262407261243694,-0.01462836633443087,1.0,-0.018625183239823317,0.008901144842773982,-0.018803287549445196,-0.0026353892800193785
cassualties,San Nicolás de los Garza,-0.040061393746306594,-0.03584249564747532,-0.015629077473039866,-0.01126042876652283,-0.007497435026824816,-0.02647249812856744,-0.028335614202207732,-0.007877243151170648,-0.03923744719495273,-0.012289350887767742,0.04976917396887317,-0.012626229577688473,-0.042183342354177984,-0.026326471661373408,-0.018625183239823317,1.0,-0.028451124494846634,-0.04615741301940472,-0.00474287419462642
