,source,target,weight
0,33597,33743,1
1,33597,34232,1
2,33597,34241,1
3,33597,34525,1
4,33597,34713,1
5,33597,34720,1
6,33597,34724,1
7,33597,34955,1
8,33597,35068,1
9,33597,35087,1
10,33597,35143,1
11,33597,35442,1
12,33597,35534,1
13,33597,35548,1
14,33597,36425,1
15,33600,33609,1
16,33600,33635,2
17,33600,33651,1
18,33600,33654,1
19,33600,33707,1
20,33600,33710,1
21,33600,33714,1
22,33600,33721,1
23,33600,33729,1
24,33600,33840,1
25,33600,33864,1
26,33600,33880,2
27,33600,33901,3
28,33600,33912,1
29,33600,33929,1
30,33600,33937,1
31,33600,33941,2
32,33600,33953,2
33,33600,33965,1
34,33600,33987,1
35,33600,34020,1
36,33600,34029,2
37,33600,34041,3
38,33600,34043,1
39,33600,34053,1
40,33600,34061,1
41,33600,34065,1
42,33600,34066,1
43,33600,34097,2
44,33600,34101,1
45,33600,34138,1
46,33600,34191,1
47,33600,34284,1
48,33600,34286,1
49,33600,34287,1
50,33600,34298,2
51,33600,34308,1
52,33600,34314,1
53,33600,34357,1
54,33600,34359,1
55,33600,34461,1
56,33600,34529,1
57,33600,34536,1
58,33600,34565,1
59,33600,34603,2
60,33600,34619,1
61,33600,34634,1
62,33600,34643,1
63,33600,34648,1
64,33600,34683,1
65,33600,34700,1
66,33600,34713,1
67,33600,34725,1
68,33600,34735,1
69,33600,34742,1
70,33600,34746,1
71,33600,34763,1
72,33600,34887,1
73,33600,34955,9
74,33600,34956,1
75,33600,34960,1
76,33600,35002,1
77,33600,35009,1
78,33600,35010,1
79,33600,35022,1
80,33600,35025,1
81,33600,35026,1
82,33600,35036,1
83,33600,35050,1
84,33600,35061,1
85,33600,35068,2
86,33600,35102,3
87,33600,35123,1
88,33600,35125,1
89,33600,35145,1
90,33600,35161,1
91,33600,35162,2
92,33600,35168,1
93,33600,35236,1
94,33600,35245,1
95,33600,35251,1
96,33600,35257,1
97,33600,35259,1
98,33600,35261,2
99,33600,35264,2
100,33600,35279,1
101,33600,35286,1
102,33600,35293,1
103,33600,35305,1
104,33600,35364,1
105,33600,35365,1
106,33600,35376,4
107,33600,35377,2
108,33600,35392,1
109,33600,35404,2
110,33600,35412,1
111,33600,35416,1
112,33600,35424,1
113,33600,35445,1
114,33600,35450,1
115,33600,35454,1
116,33600,35455,1
117,33600,35465,1
118,33600,35517,1
119,33600,35545,1
120,33600,35557,1
121,33600,35588,2
