,source,target,week_id,week_date
0,33725,36134,0,2011-01-02
1,33796,36134,0,2011-01-02
2,33814,36134,0,2011-01-02
3,33901,36134,0,2011-01-02
4,33944,36134,0,2011-01-02
5,34066,36134,0,2011-01-02
6,34373,36134,0,2011-01-02
7,34768,36134,0,2011-01-02
8,34776,36134,0,2011-01-02
9,35096,36134,0,2011-01-02
10,35285,36134,0,2011-01-02
11,35362,36134,0,2011-01-02
12,35384,36134,0,2011-01-02
13,35545,36134,0,2011-01-02
14,35937,36134,0,2011-01-02
15,36134,36399,0,2011-01-02
16,33664,33725,1,2011-01-09
17,33664,33796,1,2011-01-09
18,33664,33814,1,2011-01-09
19,33664,33901,1,2011-01-09
20,33664,33944,1,2011-01-09
21,33664,34066,1,2011-01-09
22,33664,34373,1,2011-01-09
23,33664,34768,1,2011-01-09
24,33664,34776,1,2011-01-09
25,33664,35096,1,2011-01-09
26,33664,35285,1,2011-01-09
27,33664,35362,1,2011-01-09
28,33664,35384,1,2011-01-09
29,33664,35545,1,2011-01-09
30,33664,35937,1,2011-01-09
31,33664,36399,1,2011-01-09
32,33725,33901,1,2011-01-09
33,33725,34029,1,2011-01-09
34,33725,34286,1,2011-01-09
35,33725,34298,1,2011-01-09
36,33725,34454,1,2011-01-09
37,33725,34590,1,2011-01-09
38,33725,35266,1,2011-01-09
39,33725,35360,1,2011-01-09
40,33725,35376,1,2011-01-09
41,33725,35395,1,2011-01-09
42,33725,35532,1,2011-01-09
43,33725,35629,1,2011-01-09
44,33725,35656,1,2011-01-09
45,33725,35973,1,2011-01-09
46,33725,36001,1,2011-01-09
47,33796,33901,1,2011-01-09
48,33796,34029,1,2011-01-09
49,33796,34286,1,2011-01-09
50,33796,34298,1,2011-01-09
51,33796,34454,1,2011-01-09
52,33796,34590,1,2011-01-09
53,33796,35266,1,2011-01-09
54,33796,35360,1,2011-01-09
55,33796,35376,1,2011-01-09
56,33796,35395,1,2011-01-09
57,33796,35532,1,2011-01-09
58,33796,35629,1,2011-01-09
59,33796,35656,1,2011-01-09
60,33796,35973,1,2011-01-09
61,33796,36001,1,2011-01-09
62,33814,33901,1,2011-01-09
63,33814,34029,1,2011-01-09
64,33814,34286,1,2011-01-09
65,33814,34298,1,2011-01-09
66,33814,34454,1,2011-01-09
67,33814,34590,1,2011-01-09
68,33814,35266,1,2011-01-09
69,33814,35360,1,2011-01-09
70,33814,35376,1,2011-01-09
71,33814,35395,1,2011-01-09
72,33814,35532,1,2011-01-09
73,33814,35629,1,2011-01-09
74,33814,35656,1,2011-01-09
75,33814,35973,1,2011-01-09
76,33814,36001,1,2011-01-09
77,33901,33901,1,2011-01-09
78,33901,33944,1,2011-01-09
79,33901,34029,1,2011-01-09
80,33901,34066,1,2011-01-09
81,33901,34286,1,2011-01-09
82,33901,34298,1,2011-01-09
83,33901,34373,1,2011-01-09
84,33901,34454,1,2011-01-09
85,33901,34590,1,2011-01-09
86,33901,34768,1,2011-01-09
87,33901,34776,1,2011-01-09
88,33901,35096,1,2011-01-09
89,33901,35266,1,2011-01-09
90,33901,35285,1,2011-01-09
91,33901,35360,1,2011-01-09
92,33901,35362,1,2011-01-09
93,33901,35376,1,2011-01-09
94,33901,35384,1,2011-01-09
95,33901,35395,1,2011-01-09
96,33901,35532,1,2011-01-09
97,33901,35545,1,2011-01-09
98,33901,35629,1,2011-01-09
99,33901,35656,1,2011-01-09
100,33901,35937,1,2011-01-09
101,33901,35973,1,2011-01-09
102,33901,36001,1,2011-01-09
103,33901,36399,1,2011-01-09
104,33944,34029,1,2011-01-09
105,33944,34286,1,2011-01-09
106,33944,34298,1,2011-01-09
107,33944,34454,1,2011-01-09
108,33944,34590,1,2011-01-09
109,33944,35266,1,2011-01-09
110,33944,35360,1,2011-01-09
111,33944,35376,1,2011-01-09
112,33944,35395,1,2011-01-09
113,33944,35532,1,2011-01-09
114,33944,35629,1,2011-01-09
115,33944,35656,1,2011-01-09
116,33944,35973,1,2011-01-09
117,33944,36001,1,2011-01-09
118,34029,34066,1,2011-01-09
119,34029,34373,1,2011-01-09
120,34029,34768,1,2011-01-09
121,34029,34776,1,2011-01-09
122,34029,35096,1,2011-01-09
123,34029,35285,1,2011-01-09
124,34029,35362,1,2011-01-09
125,34029,35384,1,2011-01-09
126,34029,35545,1,2011-01-09
127,34029,35937,1,2011-01-09
128,34029,36399,1,2011-01-09
129,34066,34286,1,2011-01-09
130,34066,34298,1,2011-01-09
131,34066,34454,1,2011-01-09
132,34066,34590,1,2011-01-09
133,34066,35266,1,2011-01-09
134,34066,35360,1,2011-01-09
135,34066,35376,1,2011-01-09
136,34066,35395,1,2011-01-09
137,34066,35532,1,2011-01-09
138,34066,35629,1,2011-01-09
139,34066,35656,1,2011-01-09
140,34066,35973,1,2011-01-09
141,34066,36001,1,2011-01-09
142,34286,34373,1,2011-01-09
143,34286,34768,1,2011-01-09
144,34286,34776,1,2011-01-09
145,34286,35096,1,2011-01-09
146,34286,35285,1,2011-01-09
147,34286,35362,1,2011-01-09
148,34286,35384,1,2011-01-09
149,34286,35545,1,2011-01-09
150,34286,35937,1,2011-01-09
151,34286,36399,1,2011-01-09
152,34298,34373,1,2011-01-09
153,34298,34768,1,2011-01-09
154,34298,34776,1,2011-01-09
155,34298,35096,1,2011-01-09
156,34298,35285,1,2011-01-09
157,34298,35362,1,2011-01-09
158,34298,35384,1,2011-01-09
159,34298,35545,1,2011-01-09
160,34298,35937,1,2011-01-09
161,34298,36399,1,2011-01-09
162,34373,34454,1,2011-01-09
163,34373,34590,1,2011-01-09
164,34373,35266,1,2011-01-09
165,34373,35360,1,2011-01-09
166,34373,35376,1,2011-01-09
167,34373,35395,1,2011-01-09
168,34373,35532,1,2011-01-09
169,34373,35629,1,2011-01-09
170,34373,35656,1,2011-01-09
171,34373,35973,1,2011-01-09
172,34373,36001,1,2011-01-09
173,34454,34768,1,2011-01-09
174,34454,34776,1,2011-01-09
175,34454,35096,1,2011-01-09
176,34454,35285,1,2011-01-09
177,34454,35362,1,2011-01-09
178,34454,35384,1,2011-01-09
179,34454,35545,1,2011-01-09
180,34454,35937,1,2011-01-09
181,34454,36399,1,2011-01-09
182,34590,34768,1,2011-01-09
183,34590,34776,1,2011-01-09
184,34590,35096,1,2011-01-09
185,34590,35285,1,2011-01-09
186,34590,35362,1,2011-01-09
187,34590,35384,1,2011-01-09
188,34590,35545,1,2011-01-09
189,34590,35937,1,2011-01-09
190,34590,36399,1,2011-01-09
191,34768,35266,1,2011-01-09
192,34768,35360,1,2011-01-09
193,34768,35376,1,2011-01-09
194,34768,35395,1,2011-01-09
195,34768,35532,1,2011-01-09
196,34768,35629,1,2011-01-09
197,34768,35656,1,2011-01-09
198,34768,35973,1,2011-01-09
199,34768,36001,1,2011-01-09
200,34776,35266,1,2011-01-09
201,34776,35360,1,2011-01-09
202,34776,35376,1,2011-01-09
203,34776,35395,1,2011-01-09
204,34776,35532,1,2011-01-09
205,34776,35629,1,2011-01-09
206,34776,35656,1,2011-01-09
207,34776,35973,1,2011-01-09
208,34776,36001,1,2011-01-09
209,35096,35266,1,2011-01-09
210,35096,35360,1,2011-01-09
211,35096,35376,1,2011-01-09
212,35096,35395,1,2011-01-09
213,35096,35532,1,2011-01-09
214,35096,35629,1,2011-01-09
215,35096,35656,1,2011-01-09
216,35096,35973,1,2011-01-09
217,35096,36001,1,2011-01-09
218,35266,35285,1,2011-01-09
219,35266,35362,1,2011-01-09
220,35266,35384,1,2011-01-09
221,35266,35545,1,2011-01-09
222,35266,35937,1,2011-01-09
223,35266,36399,1,2011-01-09
224,35285,35360,1,2011-01-09
225,35285,35376,1,2011-01-09
226,35285,35395,1,2011-01-09
227,35285,35532,1,2011-01-09
228,35285,35629,1,2011-01-09
229,35285,35656,1,2011-01-09
230,35285,35973,1,2011-01-09
231,35285,36001,1,2011-01-09
232,35360,35362,1,2011-01-09
233,35360,35384,1,2011-01-09
234,35360,35545,1,2011-01-09
235,35360,35937,1,2011-01-09
236,35360,36399,1,2011-01-09
237,35362,35376,1,2011-01-09
238,35362,35395,1,2011-01-09
239,35362,35532,1,2011-01-09
240,35362,35629,1,2011-01-09
241,35362,35656,1,2011-01-09
242,35362,35973,1,2011-01-09
243,35362,36001,1,2011-01-09
244,35376,35384,1,2011-01-09
245,35376,35545,1,2011-01-09
246,35376,35937,1,2011-01-09
247,35376,36399,1,2011-01-09
248,35384,35395,1,2011-01-09
249,35384,35532,1,2011-01-09
250,35384,35629,1,2011-01-09
251,35384,35656,1,2011-01-09
252,35384,35973,1,2011-01-09
253,35384,36001,1,2011-01-09
254,35395,35545,1,2011-01-09
255,35395,35937,1,2011-01-09
256,35395,36399,1,2011-01-09
257,35532,35545,1,2011-01-09
258,35532,35937,1,2011-01-09
259,35532,36399,1,2011-01-09
260,35545,35629,1,2011-01-09
261,35545,35656,1,2011-01-09
262,35545,35973,1,2011-01-09
263,35545,36001,1,2011-01-09
264,35629,35937,1,2011-01-09
265,35629,36399,1,2011-01-09
266,35656,35937,1,2011-01-09
267,35656,36399,1,2011-01-09
268,35937,35973,1,2011-01-09
269,35937,36001,1,2011-01-09
270,35973,36399,1,2011-01-09
271,36001,36399,1,2011-01-09
272,33664,33953,2,2011-01-16
273,33664,34041,2,2011-01-16
274,33664,34359,2,2011-01-16
275,33664,34643,2,2011-01-16
276,33664,34648,2,2011-01-16
277,33664,35068,2,2011-01-16
278,33664,35264,2,2011-01-16
279,33664,35305,2,2011-01-16
280,33664,35424,2,2011-01-16
281,33664,35696,2,2011-01-16
282,33901,33953,2,2011-01-16
283,33901,34041,2,2011-01-16
284,33901,34359,2,2011-01-16
285,33901,34643,2,2011-01-16
286,33901,34648,2,2011-01-16
287,33901,35068,2,2011-01-16
288,33901,35264,2,2011-01-16
289,33901,35305,2,2011-01-16
290,33901,35424,2,2011-01-16
291,33901,35696,2,2011-01-16
292,33953,34029,2,2011-01-16
293,33953,34286,2,2011-01-16
294,33953,34298,2,2011-01-16
295,33953,34454,2,2011-01-16
296,33953,34590,2,2011-01-16
297,33953,35266,2,2011-01-16
298,33953,35360,2,2011-01-16
299,33953,35376,2,2011-01-16
300,33953,35395,2,2011-01-16
301,33953,35532,2,2011-01-16
302,33953,35629,2,2011-01-16
303,33953,35656,2,2011-01-16
304,33953,35973,2,2011-01-16
305,33953,36001,2,2011-01-16
306,34029,34041,2,2011-01-16
307,34029,34359,2,2011-01-16
308,34029,34643,2,2011-01-16
309,34029,34648,2,2011-01-16
310,34029,35068,2,2011-01-16
311,34029,35264,2,2011-01-16
312,34029,35305,2,2011-01-16
313,34029,35424,2,2011-01-16
314,34029,35696,2,2011-01-16
315,34041,34286,2,2011-01-16
316,34041,34298,2,2011-01-16
317,34041,34454,2,2011-01-16
318,34041,34590,2,2011-01-16
319,34041,35266,2,2011-01-16
320,34041,35360,2,2011-01-16
321,34041,35376,2,2011-01-16
322,34041,35395,2,2011-01-16
323,34041,35532,2,2011-01-16
324,34041,35629,2,2011-01-16
325,34041,35656,2,2011-01-16
326,34041,35973,2,2011-01-16
327,34041,36001,2,2011-01-16
328,34286,34359,2,2011-01-16
329,34286,34643,2,2011-01-16
330,34286,34648,2,2011-01-16
331,34286,35068,2,2011-01-16
332,34286,35264,2,2011-01-16
333,34286,35305,2,2011-01-16
334,34286,35424,2,2011-01-16
335,34286,35696,2,2011-01-16
336,34298,34359,2,2011-01-16
337,34298,34643,2,2011-01-16
338,34298,34648,2,2011-01-16
339,34298,35068,2,2011-01-16
340,34298,35264,2,2011-01-16
341,34298,35305,2,2011-01-16
342,34298,35424,2,2011-01-16
343,34298,35696,2,2011-01-16
344,34359,34454,2,2011-01-16
345,34359,34590,2,2011-01-16
346,34359,35266,2,2011-01-16
347,34359,35360,2,2011-01-16
348,34359,35376,2,2011-01-16
349,34359,35395,2,2011-01-16
350,34359,35532,2,2011-01-16
351,34359,35629,2,2011-01-16
352,34359,35656,2,2011-01-16
353,34359,35973,2,2011-01-16
354,34359,36001,2,2011-01-16
355,34454,34643,2,2011-01-16
356,34454,34648,2,2011-01-16
357,34454,35068,2,2011-01-16
358,34454,35264,2,2011-01-16
359,34454,35305,2,2011-01-16
360,34454,35424,2,2011-01-16
361,34454,35696,2,2011-01-16
362,34590,34643,2,2011-01-16
363,34590,34648,2,2011-01-16
364,34590,35068,2,2011-01-16
365,34590,35264,2,2011-01-16
366,34590,35305,2,2011-01-16
367,34590,35424,2,2011-01-16
368,34590,35696,2,2011-01-16
369,34643,35266,2,2011-01-16
370,34643,35360,2,2011-01-16
371,34643,35376,2,2011-01-16
372,34643,35395,2,2011-01-16
373,34643,35532,2,2011-01-16
374,34643,35629,2,2011-01-16
375,34643,35656,2,2011-01-16
376,34643,35973,2,2011-01-16
377,34643,36001,2,2011-01-16
378,34648,35266,2,2011-01-16
379,34648,35360,2,2011-01-16
380,34648,35376,2,2011-01-16
381,34648,35395,2,2011-01-16
382,34648,35532,2,2011-01-16
383,34648,35629,2,2011-01-16
384,34648,35656,2,2011-01-16
385,34648,35973,2,2011-01-16
386,34648,36001,2,2011-01-16
387,35068,35266,2,2011-01-16
388,35068,35360,2,2011-01-16
389,35068,35376,2,2011-01-16
390,35068,35395,2,2011-01-16
391,35068,35532,2,2011-01-16
392,35068,35629,2,2011-01-16
393,35068,35656,2,2011-01-16
394,35068,35973,2,2011-01-16
395,35068,36001,2,2011-01-16
396,35264,35266,2,2011-01-16
397,35264,35360,2,2011-01-16
398,35264,35376,2,2011-01-16
399,35264,35395,2,2011-01-16
400,35264,35532,2,2011-01-16
401,35264,35629,2,2011-01-16
402,35264,35656,2,2011-01-16
403,35264,35973,2,2011-01-16
404,35264,36001,2,2011-01-16
405,35266,35305,2,2011-01-16
406,35266,35424,2,2011-01-16
407,35266,35696,2,2011-01-16
408,35305,35360,2,2011-01-16
409,35305,35376,2,2011-01-16
410,35305,35395,2,2011-01-16
411,35305,35532,2,2011-01-16
412,35305,35629,2,2011-01-16
413,35305,35656,2,2011-01-16
414,35305,35973,2,2011-01-16
415,35305,36001,2,2011-01-16
416,35360,35424,2,2011-01-16
417,35360,35696,2,2011-01-16
418,35376,35424,2,2011-01-16
419,35376,35696,2,2011-01-16
420,35395,35424,2,2011-01-16
421,35395,35696,2,2011-01-16
422,35424,35532,2,2011-01-16
423,35424,35629,2,2011-01-16
424,35424,35656,2,2011-01-16
425,35424,35973,2,2011-01-16
426,35424,36001,2,2011-01-16
427,35532,35696,2,2011-01-16
428,35629,35696,2,2011-01-16
429,35656,35696,2,2011-01-16
430,35696,35973,2,2011-01-16
431,35696,36001,2,2011-01-16
